Short ID,Name,Version,Family,Vendor,Release date,End of life,Code name,ID
altlinux1.0,Mandrake RE Spring 2001,1,linux,ALTLinux,2001-03-01,,,http://altlinux.org/altlinux/1.0
altlinux2.0,ALT Linux 2.0,2,linux,ALTLinux,2002-04-20,,,http://altlinux.org/altlinux/2.0
altlinux2.2,ALT Linux 2.2,2.2,linux,ALTLinux,2003-03-01,,,http://altlinux.org/altlinux/2.2
altlinux2.4,ALT Linux 2.4,2.4,linux,ALTLinux,2004-09-01,,Citron,http://altlinux.org/altlinux/2.4
altlinux3.0,ALT Linux 3.0,3,linux,ALTLinux,2005-03-22,,caprifoil,http://altlinux.org/altlinux/3.0
altlinux4.0,ALT Linux 4.0,4,linux,ALTLinux,2007-06-01,,,http://altlinux.org/altlinux/4.0
altlinux4.1,ALT Linux 4.1,4.1,linux,ALTLinux,2008-12-07,,,http://altlinux.org/altlinux/4.1
altlinux5.0,ALT Linux 5.0,5,linux,ALTLinux,2009-10-29,,Ark,http://altlinux.org/altlinux/5.0
altlinux6.0,ALT Linux 6.0,6,linux,ALTLinux,2011-10-26,,Centaurus,http://altlinux.org/altlinux/6.0
altlinux7.0,ALT Linux 7.0,7,linux,ALTLinux,2012-10-01,,Centaurus,http://altlinux.org/altlinux/7.0
centos6.0,CentOS 6.0,6,linux,CentOS,2011-07-10,2020-11-30,,http://centos.org/centos/6.0
centos6.1,CentOS 6.1,6.1,linux,CentOS,2011-12-09,2020-11-30,,http://centos.org/centos/6.1
centos6.2,CentOS 6.2,6.2,linux,CentOS,2011-12-20,2020-11-30,,http://centos.org/centos/6.2
centos6.3,CentOS 6.3,6.3,linux,CentOS,2012-07-09,2020-11-30,,http://centos.org/centos/6.3
centos6.4,CentOS 6.4,6.4,linux,CentOS,2013-03-09,2020-11-30,,http://centos.org/centos/6.4
centos6.5,CentOS 6.5,6.5,linux,CentOS,2013-12-01,2020-11-30,,http://centos.org/centos/6.5
centos6.6,CentOS 6.6,6.6,linux,CentOS,2014-10-28,2020-11-30,,http://centos.org/centos/6.6
centos6.7,CentOS 6.7,6.7,linux,CentOS,2015-08-07,2020-11-30,,http://centos.org/centos/6.7
centos6.8,CentOS 6.8,6.8,linux,CentOS,2016-05-25,2020-11-30,,http://centos.org/centos/6.8
centos6.9,CentOS 6.9,6.9,linux,CentOS,2017-04-05,2020-11-30,,http://centos.org/centos/6.9
centos7.0,CentOS 7.0,7,linux,CentOS,2014-07-07,,,http://centos.org/centos/7.0
debian1.1,Debian Buzz,1.1,linux,Debian Project,1996-07-17,,,http://debian.org/debian/1.1
debian1.2,Debian Rex,1.2,linux,Debian Project,1996-12-12,,,http://debian.org/debian/1.2
debian1.3,Debian Bo,1.3,linux,Debian Project,1997-06-05,,,http://debian.org/debian/1.3
debian2.0,Debian Hamm,2,linux,Debian Project,1998-07-24,,,http://debian.org/debian/2.0
debian2.1,Debian Slink,2.1,linux,Debian Project,1999-03-09,2000-10-30,,http://debian.org/debian/2.1
debian2.2,Debian Potato,2.2,linux,Debian Project,2000-08-15,2003-06-30,,http://debian.org/debian/2.2
debian3,Debian Woody,3,linux,Debian Project,2002-07-19,2006-06-30,,http://debian.org/debian/3
debian3.1,Debian Sarge,3.1,linux,Debian Project,2005-06-06,2008-03-31,,http://debian.org/debian/3.1
debian4,Debian Etch,4,linux,Debian Project,2007-04-08,2010-02-15,,http://debian.org/debian/4
debian5,Debian Lenny,5,linux,Debian Project,2009-02-14,2012-02-06,,http://debian.org/debian/5
debian6,Debian Squeeze,6,linux,Debian Project,2011-02-06,2016-02-29,,http://debian.org/debian/6
debian7,Debian Wheezy,7,linux,Debian Project,2013-05-04,2018-05-31,,http://debian.org/debian/7
debian8,Debian Jessie,8,linux,Debian Project,2015-04-25,,,http://debian.org/debian/8
debian9,Debian Stretch,9,linux,Debian Project,2017-06-17,,,http://debian.org/debian/9
debiantesting,Debian Testing,testing,linux,Debian Project,,,,http://debian.org/debian/testing
fedora-unknown,Fedora,unknown,linux,Fedora Project,,,,http://fedoraproject.org/fedora/unknown
fedora1,Fedora Core 1,1,linux,Fedora Project,2003-11-05,2004-09-20,Yarrow,http://fedoraproject.org/fedora/1
fedora10,Fedora 10,10,linux,Fedora Project,2008-11-25,2009-12-17,Cambridge,http://fedoraproject.org/fedora/10
fedora11,Fedora 11,11,linux,Fedora Project,2009-06-09,2010-06-25,Leonidas,http://fedoraproject.org/fedora/11
fedora12,Fedora 12,12,linux,Fedora Project,2009-11-17,2010-12-02,Constantine,http://fedoraproject.org/fedora/12
fedora13,Fedora 13,13,linux,Fedora Project,2010-05-25,2011-06-04,Goddard,http://fedoraproject.org/fedora/13
fedora14,Fedora 14,14,linux,Fedora Project,2010-11-02,2011-12-09,Laughlin,http://fedoraproject.org/fedora/14
fedora15,Fedora 15,15,linux,Fedora Project,2011-05-24,2012-06-26,Lovelock,http://fedoraproject.org/fedora/15
fedora16,Fedora 16,16,linux,Fedora Project,2011-11-08,2013-02-12,Verne,http://fedoraproject.org/fedora/16
fedora17,Fedora 17,17,linux,Fedora Project,2012-05-29,2013-07-30,Beefy Miracle,http://fedoraproject.org/fedora/17
fedora18,Fedora 18,18,linux,Fedora Project,2013-01-15,2014-01-14,The Spherical Cow,http://fedoraproject.org/fedora/18
fedora19,Fedora 19,19,linux,Fedora Project,2013-07-02,2015-01-06,Schrödinger's Cat,http://fedoraproject.org/fedora/19
fedora2,Fedora Core 2,2,linux,Fedora Project,2004-05-18,2005-04-11,Tettnang,http://fedoraproject.org/fedora/2
fedora20,Fedora 20,20,linux,Fedora Project,2013-12-17,2015-06-23,Heisenbug,http://fedoraproject.org/fedora/20
fedora21,Fedora 21,21,linux,Fedora Project,2014-12-09,2015-12-01,,http://fedoraproject.org/fedora/21
fedora22,Fedora 22,22,linux,Fedora Project,2015-05-26,2016-07-19,,http://fedoraproject.org/fedora/22
fedora23,Fedora 23,23,linux,Fedora Project,2015-11-03,2016-12-20,,http://fedoraproject.org/fedora/23
fedora24,Fedora 24,24,linux,Fedora Project,2016-06-21,2017-08-08,,http://fedoraproject.org/fedora/24
fedora25,Fedora 25,25,linux,Fedora Project,2016-11-22,,,http://fedoraproject.org/fedora/25
fedora26,Fedora 26,26,linux,Fedora Project,2017-07-11,,,http://fedoraproject.org/fedora/26
fedora3,Fedora Core 3,3,linux,Fedora Project,2004-11-08,2006-01-16,Heidelberg,http://fedoraproject.org/fedora/3
fedora4,Fedora Core 4,4,linux,Fedora Project,2005-06-13,2006-08-07,Stentz,http://fedoraproject.org/fedora/4
fedora5,Fedora Core 5,5,linux,Fedora Project,2006-03-20,2007-07-02,Bordeaux,http://fedoraproject.org/fedora/5
fedora6,Fedora Core 6,6,linux,Fedora Project,2006-10-24,2007-12-07,Zod,http://fedoraproject.org/fedora/6
fedora7,Fedora 7,7,linux,Fedora Project,2007-05-31,2008-06-13,Moonshine,http://fedoraproject.org/fedora/7
fedora8,Fedora 8,8,linux,Fedora Project,2007-11-08,2009-01-07,Werewolf,http://fedoraproject.org/fedora/8
fedora9,Fedora 9,9,linux,Fedora Project,2008-05-13,2009-07-10,Sulphur,http://fedoraproject.org/fedora/9
freebsd1.0,FreeBSD 1.0,1,freebsd,FreeBSD Project,1993-11-01,,,http://freebsd.org/freebsd/1.0
freebsd10.0,FreeBSD 10.0,10,freebsd,FreeBSD Project,2014-01-14,2015-02-28,,http://freebsd.org/freebsd/10.0
freebsd10.1,FreeBSD 10.1,10.1,freebsd,FreeBSD Project,2014-11-14,2016-12-31,,http://freebsd.org/freebsd/10.1
freebsd10.2,FreeBSD 10.2,10.2,freebsd,FreeBSD Project,2015-08-13,2016-12-31,,http://freebsd.org/freebsd/10.2
freebsd10.3,FreeBSD 10.3,10.3,freebsd,FreeBSD Project,2016-04-04,2018-04-30,,http://freebsd.org/freebsd/10.3
freebsd11.0,FreeBSD 11.0,11,freebsd,FreeBSD Project,2016-10-10,,,http://freebsd.org/freebsd/11.0
freebsd11.1,FreeBSD 11.1,11.1,freebsd,FreeBSD Project,2017-07-26,,,http://freebsd.org/freebsd/11.1
freebsd2.0,FreeBSD 2.0,2,freebsd,FreeBSD Project,1994-11-22,,,http://freebsd.org/freebsd/2.0
freebsd2.0.5,FreeBSD 2.0.5,2.0.5,freebsd,FreeBSD Project,1995-06-10,,,http://freebsd.org/freebsd/2.0.5
freebsd2.2.8,FreeBSD 2.2.8,2.2.8,freebsd,FreeBSD Project,1998-11-22,,,http://freebsd.org/freebsd/2.2.8
freebsd2.2.9,FreeBSD 2.2.9,2.2.9,freebsd,FreeBSD Project,,,,http://freebsd.org/freebsd/2.2.9
freebsd3.0,FreeBSD 3.0,3,freebsd,FreeBSD Project,1998-10-16,,,http://freebsd.org/freebsd/3.0
freebsd3.2,FreeBSD 3.2,3.2,freebsd,FreeBSD Project,1999-05-17,,,http://freebsd.org/freebsd/3.2
freebsd4.0,FreeBSD 4.0,4,freebsd,FreeBSD Project,2000-03-14,,,http://freebsd.org/freebsd/4.0
freebsd4.1,FreeBSD 4.1,4.1,freebsd,FreeBSD Project,2000-06-27,,,http://freebsd.org/freebsd/4.1
freebsd4.10,FreeBSD 4.10,4.1,freebsd,FreeBSD Project,2004-05-27,,,http://freebsd.org/freebsd/4.10
freebsd4.11,FreeBSD 4.11,4.11,freebsd,FreeBSD Project,2005-01-25,2007-01-31,,http://freebsd.org/freebsd/4.11
freebsd4.2,FreeBSD 4.2,4.2,freebsd,FreeBSD Project,2000-11-21,,,http://freebsd.org/freebsd/4.2
freebsd4.3,FreeBSD 4.3,4.3,freebsd,FreeBSD Project,2001-04-20,,,http://freebsd.org/freebsd/4.3
freebsd4.4,FreeBSD 4.4,4.4,freebsd,FreeBSD Project,2001-09-20,,,http://freebsd.org/freebsd/4.4
freebsd4.5,FreeBSD 4.5,4.5,freebsd,FreeBSD Project,2002-01-29,,,http://freebsd.org/freebsd/4.5
freebsd4.6,FreeBSD 4.6,4.6,freebsd,FreeBSD Project,2002-06-15,,,http://freebsd.org/freebsd/4.6
freebsd4.7,FreeBSD 4.7,4.7,freebsd,FreeBSD Project,2002-10-10,,,http://freebsd.org/freebsd/4.7
freebsd4.8,FreeBSD 4.8,4.8,freebsd,FreeBSD Project,2003-04-03,,,http://freebsd.org/freebsd/4.8
freebsd4.9,FreeBSD 4.9,4.9,freebsd,FreeBSD Project,2003-10-28,,,http://freebsd.org/freebsd/4.9
freebsd5.0,FreeBSD 5.0,5,freebsd,FreeBSD Project,2003-01-19,,,http://freebsd.org/freebsd/5.0
freebsd5.1,FreeBSD 5.1,5.1,freebsd,FreeBSD Project,2003-06-09,,,http://freebsd.org/freebsd/5.1
freebsd5.2,FreeBSD 5.2,5.2,freebsd,FreeBSD Project,2004-01-12,,,http://freebsd.org/freebsd/5.2
freebsd5.2.1,FreeBSD 5.2.1,5.2.1,freebsd,FreeBSD Project,2005-02-25,,,http://freebsd.org/freebsd/5.2.1
freebsd5.3,FreeBSD 5.3,5.3,freebsd,FreeBSD Project,2004-11-06,2006-10-31,,http://freebsd.org/freebsd/5.3
freebsd5.4,FreeBSD 5.4,5.4,freebsd,FreeBSD Project,2005-05-09,2006-10-31,,http://freebsd.org/freebsd/5.4
freebsd5.5,FreeBSD 5.5,5.5,freebsd,FreeBSD Project,2006-05-25,2008-05-31,,http://freebsd.org/freebsd/5.5
freebsd6.0,FreeBSD 6.0,6,freebsd,FreeBSD Project,2005-11-04,2007-01-31,,http://freebsd.org/freebsd/6.0
freebsd6.1,FreeBSD 6.1,6.1,freebsd,FreeBSD Project,2006-05-09,2008-05-31,,http://freebsd.org/freebsd/6.1
freebsd6.2,FreeBSD 6.2,6.2,freebsd,FreeBSD Project,2007-01-15,2008-05-31,,http://freebsd.org/freebsd/6.2
freebsd6.3,FreeBSD 6.3,6.3,freebsd,FreeBSD Project,2008-01-18,2010-01-31,,http://freebsd.org/freebsd/6.3
freebsd6.4,FreeBSD 6.4,6.4,freebsd,FreeBSD Project,2008-11-28,2010-11-30,,http://freebsd.org/freebsd/6.4
freebsd7.0,FreeBSD 7.0,7,freebsd,FreeBSD Project,2008-02-27,2009-04-30,,http://freebsd.org/freebsd/7.0
freebsd7.1,FreeBSD 7.1,7.1,freebsd,FreeBSD Project,2009-01-04,2011-02-28,,http://freebsd.org/freebsd/7.1
freebsd7.2,FreeBSD 7.2,7.2,freebsd,FreeBSD Project,2009-05-04,2010-06-30,,http://freebsd.org/freebsd/7.2
freebsd7.3,FreeBSD 7.3,7.3,freebsd,FreeBSD Project,2010-03-23,2012-03-31,,http://freebsd.org/freebsd/7.3
freebsd7.4,FreeBSD 7.4,7.4,freebsd,FreeBSD Project,2011-02-24,2013-02-28,,http://freebsd.org/freebsd/7.4
freebsd8.0,FreeBSD 8.0,8,freebsd,FreeBSD Project,2009-11-25,2010-11-30,,http://freebsd.org/freebsd/8.0
freebsd8.1,FreeBSD 8.1,8.1,freebsd,FreeBSD Project,2010-07-23,2012-07-31,,http://freebsd.org/freebsd/8.1
freebsd8.2,FreeBSD 8.2,8.2,freebsd,FreeBSD Project,2011-02-24,2012-07-31,,http://freebsd.org/freebsd/8.2
freebsd8.3,FreeBSD 8.3,8.3,freebsd,FreeBSD Project,2012-04-18,2014-04-30,,http://freebsd.org/freebsd/8.3
freebsd8.4,FreeBSD 8.4,8.4,freebsd,FreeBSD Project,2013-06-09,2015-08-01,,http://freebsd.org/freebsd/8.4
freebsd9.0,FreeBSD 9.0,9,freebsd,FreeBSD Project,2012-01-12,2013-03-31,,http://freebsd.org/freebsd/9.0
freebsd9.1,FreeBSD 9.1,9.1,freebsd,FreeBSD Project,2012-12-30,2014-12-31,,http://freebsd.org/freebsd/9.1
freebsd9.2,FreeBSD 9.2,9.2,freebsd,FreeBSD Project,2013-09-30,2014-12-31,,http://freebsd.org/freebsd/9.2
freebsd9.3,FreeBSD 9.3,9.3,freebsd,FreeBSD Project,2014-07-16,2016-12-31,,http://freebsd.org/freebsd/9.3
gnome-continuous-3.10,GNOME 3.10,3.1,linux,GNOME Project,2013-09-25,,,http://gnome.org/gnome-continuous/3.10
gnome-continuous-3.12,GNOME 3.12,3.12,linux,GNOME Project,,,,http://gnome.org/gnome-continuous/3.12
gnome-continuous-3.14,GNOME 3.14,3.14,linux,GNOME Project,,,,http://gnome.org/gnome-continuous/3.14
gnome3.6,GNOME 3.6,3.6,linux,GNOME Project,2012-09-26,,,http://gnome.org/gnome/3.6
gnome3.8,GNOME 3.8,3.8,linux,GNOME Project,2013-03-27,,,http://gnome.org/gnome/3.8
macosx10.0,MacOS X Cheetah,10,darwin,Apple Inc.,,,,http://apple.com/macosx/10.0
macosx10.1,MacOS X Puma,10.1,darwin,Apple Inc.,,,,http://apple.com/macosx/10.1
macosx10.2,MacOS X Jaguar,10.2,darwin,Apple Inc.,,,,http://apple.com/macosx/10.2
macosx10.3,MacOS X Panther,10.3,darwin,Apple Inc.,,,,http://apple.com/macosx/10.3
macosx10.4,MacOS X Tiger,10.4,darwin,Apple Inc.,,,,http://apple.com/macosx/10.4
macosx10.5,MacOS X Leopard,10.5,darwin,Apple Inc.,,,,http://apple.com/macosx/10.5
macosx10.6,MacOS X Snow Leopard,10.6,darwin,Apple Inc.,,,,http://apple.com/macosx/10.6
macosx10.7,MacOS X Lion,10.7,darwin,Apple Inc.,,,,http://apple.com/macosx/10.7
mageia1,Mageia 1,1,linux,Mageia,2011-06-01,2012-12-01,,http://mageia.org/mageia/1
mageia2,Mageia 2,2,linux,Mageia,2012-05-22,2013-11-22,,http://mageia.org/mageia/2
mageia3,Mageia 3,3,linux,Mageia,2013-05-19,2014-11-26,,http://mageia.org/mageia/3
mageia4,Mageia 4,4,linux,Mageia,2014-02-01,2015-09-19,,http://mageia.org/mageia/4
mageia5,Mageia 5,5,linux,Mageia,2015-06-19,2017-10-31,,http://mageia.org/mageia/5
mageia6,Mageia 6,6,linux,Mageia,2017-07-16,2019-01-16,,http://mageia.org/mageia/6
mandrake10.0,Mandrake Linux 10.0,10,linux,Mandriva,,,,http://mandriva.com/mandrake/10.0
mandrake10.1,Mandrake Linux 10.1,10.1,linux,Mandriva,,,,http://mandriva.com/mandrake/10.1
mandrake10.2,Mandrake Linux 10.2,10.2,linux,Mandriva,,,,http://mandriva.com/mandrake/10.2
mandrake5.1,Mandrake Linux 5.1,5.1,linux,Mandriva,,,Venice,http://mandriva.com/mandrake/5.1
mandrake5.2,Mandrake Linux 5.2,5.2,linux,Mandriva,,,Leeloo,http://mandriva.com/mandrake/5.2
mandrake5.3,Mandrake Linux 5.3,5.3,linux,Mandriva,,,Festen,http://mandriva.com/mandrake/5.3
mandrake6.0,Mandrake Linux 6.0,6,linux,Mandriva,,,Venus,http://mandriva.com/mandrake/6.0
mandrake6.1,Mandrake Linux 6.1,6.1,linux,Mandriva,,,Helios,http://mandriva.com/mandrake/6.1
mandrake7.0,Mandrake Linux 7.0,7,linux,Mandriva,,,Air,http://mandriva.com/mandrake/7.0
mandrake7.1,Mandrake Linux 7.1,7.1,linux,Mandriva,,,Helium,http://mandriva.com/mandrake/7.1
mandrake7.2,Mandrake Linux 7.2,7.2,linux,Mandriva,,,Odyssey,http://mandriva.com/mandrake/7.2
mandrake8.0,Mandrake Linux 8.0,8,linux,Mandriva,,,Traktopel,http://mandriva.com/mandrake/8.0
mandrake8.1,Mandrake Linux 8.1,8.1,linux,Mandriva,,,Vitamin,http://mandriva.com/mandrake/8.1
mandrake8.2,Mandrake Linux 8.2,8.2,linux,Mandriva,,,Bluebird,http://mandriva.com/mandrake/8.2
mandrake9.0,Mandrake Linux 9.0,9,linux,Mandriva,,,Dolphin,http://mandriva.com/mandrake/9.0
mandrake9.1,Mandrake Linux 9.1,9.1,linux,Mandriva,,,Bamboo,http://mandriva.com/mandrake/9.1
mandrake9.2,Mandrake Linux 9.2,9.2,linux,Mandriva,,,FiveStar,http://mandriva.com/mandrake/9.2
mandriva2006.0,Mandriva Linux 2006.0,2006,linux,Mandriva,,,,http://mandriva.com/mandriva/2006.0
mandriva2007,Mandriva Linux 2007,2007,linux,Mandriva,,,,http://mandriva.com/mandriva/2007
mandriva2007.1,Mandriva Linux 2007 Spring,2007.1,linux,Mandriva,,,,http://mandriva.com/mandriva/2007.1
mandriva2008.0,Mandriva Linux 2008,2008,linux,Mandriva,,,,http://mandriva.com/mandriva/2008.0
mandriva2008.1,Mandriva Linux 2008 Spring,2008.1,linux,Mandriva,,,,http://mandriva.com/mandriva/2008.1
mandriva2009.0,Mandriva Linux 2009,2009,linux,Mandriva,,,,http://mandriva.com/mandriva/2009.0
mandriva2009.1,Mandriva Linux 2009 Spring,2009.1,linux,Mandriva,,,,http://mandriva.com/mandriva/2009.1
mandriva2010.0,Mandriva Linux 2010,2010,linux,Mandriva,,,,http://mandriva.com/mandriva/2010.0
mandriva2010.1,Mandriva Linux 2010 Spring,2010.1,linux,Mandriva,,,,http://mandriva.com/mandriva/2010.1
mandriva2010.2,Mandriva Linux 2010.2,2010.2,linux,Mandriva,,,,http://mandriva.com/mandriva/2010.2
mandriva2011,Mandriva Linux 2011,2011,linux,Mandriva,,,Hydrogen,http://mandriva.com/mandriva/2011
mbs1.0,Mandriva Business Server 1.0,1,linux,Mandriva,,,,http://mandriva.com/mbs/1.0
mes5,Mandriva Enterprise Server 5.0,5,linux,Mandriva,,,,http://mandriva.com/mes/5.0
mes5.1,Mandriva Enterprise Server 5.1,5.1,linux,Mandriva,,,,http://mandriva.com/mes/5.1
msdos6.22,Microsoft MS-DOS 6.22,6.22,msdos,Microsoft,,,,http://microsoft.com/msdos/6.22
netbsd0.8,NetBSD 0.8,0.8,netbsd,NetBSD Project,1993-04-20,,,http://netbsd.org/netbsd/0.8
netbsd0.9,NetBSD 0.9,0.9,netbsd,NetBSD Project,1993-08-20,,,http://netbsd.org/netbsd/0.9
netbsd1.0,NetBSD 1.0,1,netbsd,NetBSD Project,1994-10-26,,,http://netbsd.org/netbsd/1.0
netbsd1.1,NetBSD 1.1,1.1,netbsd,NetBSD Project,1995-11-26,,,http://netbsd.org/netbsd/1.1
netbsd1.2,NetBSD 1.2,1.2,netbsd,NetBSD Project,1996-10-04,,,http://netbsd.org/netbsd/1.2
netbsd1.3,NetBSD 1.3,1.3,netbsd,NetBSD Project,1998-03-09,,,http://netbsd.org/netbsd/1.3
netbsd1.4,NetBSD 1.4,1.4,netbsd,NetBSD Project,1999-05-12,,,http://netbsd.org/netbsd/1.4
netbsd1.5,NetBSD 1.5,1.5,netbsd,NetBSD Project,2000-12-06,,,http://netbsd.org/netbsd/1.5
netbsd1.6,NetBSD 1.6,1.6,netbsd,NetBSD Project,2002-09-14,,,http://netbsd.org/netbsd/1.6
netbsd2.0,NetBSD 2.0,2,netbsd,NetBSD Project,2004-12-09,,,http://netbsd.org/netbsd/2.0
netbsd3.0,NetBSD 3.0,3,netbsd,NetBSD Project,2005-12-23,,,http://netbsd.org/netbsd/3.0
netbsd4.0,NetBSD 4.0,4,netbsd,NetBSD Project,2007-12-19,,,http://netbsd.org/netbsd/4.0
netbsd5.0,NetBSD 5.0,5,netbsd,NetBSD Project,2009-04-29,,,http://netbsd.org/netbsd/5.0
netbsd5.1,NetBSD 5.1,5.1,netbsd,NetBSD Project,2010-11-19,,,http://netbsd.org/netbsd/5.1
netware4,Novell Netware 4,4,netware,Novell,,,,http://novell.com/netware/4
netware5,Novell Netware 5,5,netware,Novell,,,,http://novell.com/netware/5
netware6,Novell Netware 6,6,netware,Novell,,,,http://novell.com/netware/6
openbsd4.2,OpenBSD 4.2,4.2,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/4.2
openbsd4.3,OpenBSD 4.3,4.3,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/4.3
openbsd4.4,OpenBSD 4.4,4.4,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/4.4
openbsd4.5,OpenBSD 4.5,4.5,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/4.5
openbsd4.8,OpenBSD 4.8,4.8,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/4.8
openbsd4.9,OpenBSD 4.9,4.9,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/4.9
openbsd5.0,OpenBSD 5.0,5,openbsd,OpenBSD Project,,,,http://openbsd.org/openbsd/5.0
openbsd5.1,OpenBSD 5.1,5.1,openbsd,OpenBSD Project,2012-05-01,,,http://openbsd.org/openbsd/5.1
openbsd5.2,OpenBSD 5.2,5.2,openbsd,OpenBSD Project,2012-11-01,,,http://openbsd.org/openbsd/5.2
openbsd5.3,OpenBSD 5.3,5.3,openbsd,OpenBSD Project,2013-05-01,,,http://openbsd.org/openbsd/5.3
openbsd5.4,OpenBSD 5.4,5.4,openbsd,OpenBSD Project,2013-11-01,,,http://openbsd.org/openbsd/5.4
openbsd5.5,OpenBSD 5.5,5.5,openbsd,OpenBSD Project,2014-05-01,,,http://openbsd.org/openbsd/5.5
openbsd5.6,OpenBSD 5.6,5.6,openbsd,OpenBSD Project,2014-11-01,,,http://openbsd.org/openbsd/5.6
openbsd5.7,OpenBSD 5.7,5.7,openbsd,OpenBSD Project,2015-05-01,,,http://openbsd.org/openbsd/5.7
openbsd5.8,OpenBSD 5.8,5.8,openbsd,OpenBSD Project,2015-10-18,,,http://openbsd.org/openbsd/5.8
opensolaris2009.06,OpenSolaris 2009.06,2009.06,solaris,Sun,,,,http://sun.com/opensolaris/2009.06
opensuse-factory,openSUSE,factory,linux,openSUSE,,,,http://opensuse.org/opensuse/factory
opensuse-unknown,openSUSE,unknown,linux,openSUSE,,,,http://opensuse.org/opensuse/unknown
opensuse10.2,openSUSE 10.2,10.2,linux,openSUSE,2006-12-07,2008-11-30,,http://opensuse.org/opensuse/10.2
